ticket,symbol,action,volume,price,time,result,close_price,close_time,profit,mfe,mae,chat_id
124958254,GOLD,BUY,0.15,0.0,2026-01-19 20:16:20,CLOSED,4667.89,2026-01-19 20:16:20,54.9,0.0,0.0,
124954285,GOLD,BUY,0.08,0.0,2026-01-19 17:10:10,CLOSED,4669.66,2026-01-19 17:10:10,25.76,0.0,0.0,
124954282,GOLD,BUY,0.08,0.0,2026-01-19 17:10:06,CLOSED,4669.72,2026-01-19 17:10:06,22.32,0.0,0.0,
124947029,GOLD,BUY,0.01,0.0,2026-01-19 16:32:17,CLOSED,4670.5,2026-01-19 16:32:17,6.57,0.0,0.0,
124945390,EURUSD,BUY,0.15,0.0,2026-01-19 17:47:04,CLOSED,1.16237,2026-01-19 17:47:04,9.45,0.0,0.0,
124945377,EURUSD,BUY,0.15,0.0,2026-01-19 17:01:58,CLOSED,1.16286,2026-01-19 17:01:58,10.8,0.0,0.0,
124945207,EURUSD,BUY,0.12,0.0,2026-01-19 17:46:59,CLOSED,1.16237,2026-01-19 17:46:59,7.5600000000000005,0.0,0.0,
124945197,EURUSD,BUY,0.12,0.0,2026-01-19 17:01:54,CLOSED,1.16283,2026-01-19 17:01:54,8.28,0.0,0.0,
124944200,EURUSD,BUY,0.01,0.0,2026-01-19 17:46:56,CLOSED,1.16237,2026-01-19 17:46:56,0.63,0.0,0.0,
124944193,EURUSD,BUY,0.01,0.0,2026-01-19 17:01:50,CLOSED,1.16273,2026-01-19 17:01:50,0.59,0.0,0.0,
124943883,GOLD,BUY,0.01,0.0,2026-01-19 16:32:13,CLOSED,4670.68,2026-01-19 16:32:13,5.57,0.0,0.0,
124942706,EURUSD,BUY,0.15,0.0,2026-01-19 17:46:52,CLOSED,1.16237,2026-01-19 17:46:52,9.45,0.0,0.0,
124942662,EURUSD,BUY,0.15,0.0,2026-01-19 17:01:47,CLOSED,1.16272,2026-01-19 17:01:47,8.7,0.0,0.0,
124942601,GOLD,BUY,0.15,0.0,2026-01-19 16:32:10,CLOSED,4670.53,2026-01-19 16:32:10,33.45,0.0,0.0,
124940062,GOLD,BUY,0.15,0.0,2026-01-19 15:07:30,CLOSED,4677.38,2026-01-19 15:07:30,9.15,0.0,0.0,
124939881,EURUSD,BUY,0.15,0.0,2026-01-19 17:46:48,CLOSED,1.16237,2026-01-19 17:46:48,9.45,0.0,0.0,
124939872,EURUSD,BUY,0.15,0.0,2026-01-19 17:01:43,CLOSED,1.16273,2026-01-19 17:01:43,8.85,0.0,0.0,
124937967,GOLD,BUY,0.15,0.0,2026-01-19 14:49:56,CLOSED,4674.43,2026-01-19 14:49:56,-8.85,0.0,0.0,
124935267,GOLD,BUY,0.01,0.0,2026-01-19 14:32:04,CLOSED,4672.73,2026-01-19 14:32:04,2.98,0.0,0.0,
124934722,GOLD,BUY,0.15,0.0,2026-01-19 14:32:01,CLOSED,4672.47,2026-01-19 14:32:01,42.0,0.0,0.0,
124934276,EURUSD,BUY,0.15,0.0,2026-01-19 14:30:58,CLOSED,1.16293,2026-01-19 14:30:58,1.95,0.0,0.0,
124933223,GOLD,BUY,0.15,0.0,2026-01-19 14:00:16,CLOSED,4669.65,2026-01-19 14:00:16,9.9,0.0,0.0,
124931522,GOLD,BUY,0.15,0.0,2026-01-19 13:33:07,CLOSED,4672.71,2026-01-19 13:33:07,10.8,0.0,0.0,
124930502,GOLD,BUY,0.15,0.0,2026-01-19 13:22:52,CLOSED,4670.64,2026-01-19 13:22:52,2.55,0.0,0.0,
124929272,GOLD,BUY,0.15,0.0,2026-01-19 13:03:02,CLOSED,4669.02,2026-01-19 13:03:02,9.45,0.0,0.0,
124928048,GOLD,BUY,0.01,0.0,2026-01-19 12:49:12,CLOSED,4663.12,2026-01-19 12:49:12,1.41,0.0,0.0,
124928047,GOLD,BUY,0.01,0.0,2026-01-19 12:49:12,CLOSED,4663.12,2026-01-19 12:49:12,1.41,0.0,0.0,
124927415,GOLD,BUY,0.01,0.0,2026-01-19 12:49:12,CLOSED,4663.12,2026-01-19 12:49:12,0.31,0.0,0.0,
124927414,GOLD,BUY,0.01,0.0,2026-01-19 12:49:11,CLOSED,4663.12,2026-01-19 12:49:11,0.31,0.0,0.0,
124926751,GOLD,BUY,0.01,0.0,2026-01-19 12:49:11,CLOSED,4663.12,2026-01-19 12:49:11,0.38,0.0,0.0,
124926750,GOLD,BUY,0.01,0.0,2026-01-19 12:49:11,CLOSED,4663.12,2026-01-19 12:49:11,0.38,0.0,0.0,
124926035,GOLD,BUY,0.01,0.0,2026-01-19 12:49:11,CLOSED,4663.12,2026-01-19 12:49:11,3.99,0.0,0.0,
124926034,GOLD,BUY,0.01,0.0,2026-01-19 12:49:11,CLOSED,4663.12,2026-01-19 12:49:11,3.99,0.0,0.0,
124925234,GOLD,BUY,0.01,0.0,2026-01-19 12:49:11,CLOSED,4663.12,2026-01-19 12:49:11,-0.44,0.0,0.0,
124925233,GOLD,BUY,0.01,0.0,2026-01-19 12:49:11,CLOSED,4663.12,2026-01-19 12:49:11,-0.44,0.0,0.0,
124923652,GOLD,SELL,0.01,0.0,2026-01-19 11:16:42,CLOSED,4667.9,2026-01-19 11:16:42,0.66,0.0,0.0,
124923651,GOLD,SELL,0.01,0.0,2026-01-19 11:16:35,CLOSED,4667.93,2026-01-19 11:16:35,0.63,0.0,0.0,
