id,timestamp,balance,equity,margin,free_margin,margin_level,total_profit,symbol_pnl,chat_id
39375,2026-01-22 04:07:31.920258,82.63,83.39,1.1400000000000001,82.25,7314.912280701754,0.76,0.76,
39374,2026-01-22 04:07:30.260285,82.63,83.34,1.1400000000000001,82.2,7310.526315789472,0.71,0.0,
39373,2026-01-22 04:07:30.260285,82.63,83.34,1.1400000000000001,82.2,7310.526315789472,0.71,0.0,
39372,2026-01-22 04:07:20.209555,82.63,83.01,1.1400000000000001,81.87,7281.578947368421,0.38,0.0,
39371,2026-01-22 04:07:20.209555,82.63,83.01,1.1400000000000001,81.87,7281.578947368421,0.38,0.0,
39370,2026-01-22 04:07:10.171705,82.63,82.97,1.1400000000000001,81.83,7278.0701754385955,0.34,0.0,
39369,2026-01-22 04:07:10.171705,82.63,82.97,1.1400000000000001,81.83,7278.0701754385955,0.34,0.0,
39368,2026-01-22 04:07:00.132880,82.63,83.33,1.1400000000000001,82.19,7309.649122807016,0.7,0.0,
39367,2026-01-22 04:07:00.132880,82.63,83.33,1.1400000000000001,82.19,7309.649122807016,0.7,0.0,
39366,2026-01-22 04:06:50.088852,82.63,83.59,1.1400000000000001,82.45,7332.456140350877,0.96,0.0,
39365,2026-01-22 04:06:50.088852,82.63,83.59,1.1400000000000001,82.45,7332.456140350877,0.96,0.0,
39364,2026-01-22 04:06:40.052692,82.63,82.97,1.1400000000000001,81.83,7278.0701754385955,0.34,0.0,
39363,2026-01-22 04:06:40.052692,82.63,82.97,1.1400000000000001,81.83,7278.0701754385955,0.34,0.0,
39362,2026-01-22 04:06:30.014361,82.63,83.1,1.1400000000000001,81.96,7289.473684210525,0.47,0.0,
39361,2026-01-22 04:06:30.014361,82.63,83.1,1.1400000000000001,81.96,7289.473684210525,0.47,0.0,
39360,2026-01-22 04:06:19.977320,82.63,83.08,1.1400000000000001,81.94,7287.719298245614,0.45,0.0,
39359,2026-01-22 04:06:19.977320,82.63,83.08,1.1400000000000001,81.94,7287.719298245614,0.45,0.0,
39358,2026-01-22 04:04:58.938374,82.63,83.0,1.1400000000000001,81.86,7280.701754385965,0.37,0.0,
39357,2026-01-22 04:04:58.938374,82.63,83.0,1.1400000000000001,81.86,7280.701754385965,0.37,0.0,
39356,2026-01-22 04:04:57.500456,82.63,83.02,1.1400000000000001,81.88,7282.456140350877,0.39,0.39,
39355,2026-01-22 04:04:57.500456,82.63,83.02,1.1400000000000001,81.88,7282.456140350877,0.39,0.39,
39354,2026-01-22 04:04:48.874094,82.63,83.36,1.1400000000000001,82.22,7312.280701754385,0.73,0.0,
39353,2026-01-22 04:04:48.874094,82.63,83.36,1.1400000000000001,82.22,7312.280701754385,0.73,0.0,
39352,2026-01-22 04:04:47.403644,82.63,83.64,1.1400000000000001,82.5,7336.8421052631575,1.01,1.01,
39351,2026-01-22 04:04:47.403644,82.63,83.64,1.1400000000000001,82.5,7336.8421052631575,1.01,1.01,
39350,2026-01-22 04:04:38.836009,82.63,83.59,1.1400000000000001,82.45,7332.456140350877,0.96,0.0,
39349,2026-01-22 04:04:38.836009,82.63,83.59,1.1400000000000001,82.45,7332.456140350877,0.96,0.0,
39348,2026-01-22 04:04:37.321787,82.63,83.36,1.1400000000000001,82.22,7312.280701754385,0.73,0.73,
39347,2026-01-22 04:04:37.321787,82.63,83.36,1.1400000000000001,82.22,7312.280701754385,0.73,0.73,
39346,2026-01-22 04:04:28.784944,82.63,83.17,1.1400000000000001,82.03,7295.6140350877195,0.54,0.0,
