ticket,symbol,action,volume,price,time,result,close_price,close_time,profit,mfe,mae,chat_id
121147892,EURUSD,SELL,0.01,0.0,2025-12-29 15:01:04,CLOSED,1.17713,2025-12-29 15:01:04,-0.78,0.0,0.0,
121147906,EURUSD,SELL,0.01,0.0,2025-12-29 15:01:04,CLOSED,1.17713,2025-12-29 15:01:04,-0.78,0.0,0.0,
121147923,EURUSD,SELL,0.01,0.0,2025-12-29 15:01:04,CLOSED,1.17713,2025-12-29 15:01:04,-0.78,0.0,0.0,
121147934,EURUSD,SELL,0.01,0.0,2025-12-29 15:01:04,CLOSED,1.17713,2025-12-29 15:01:04,-0.78,0.0,0.0,
121147943,EURUSD,SELL,0.01,0.0,2025-12-29 15:01:04,CLOSED,1.17713,2025-12-29 15:01:04,-0.77,0.0,0.0,
121147952,EURUSD,SELL,0.01,0.0,2025-12-29 15:01:04,CLOSED,1.17713,2025-12-29 15:01:04,-0.77,0.0,0.0,
121147962,EURUSD,SELL,0.01,0.0,2025-12-29 15:01:04,CLOSED,1.17713,2025-12-29 15:01:04,-0.77,0.0,0.0,
121208038,GOLD,SELL,0.01,0.0,2025-12-23 04:59:00,CLOSED,4438.89,2025-12-23 04:59:00,-6.47,0.0,0.0,
121265674,GOLD,SELL,0.01,0.0,2025-12-23 13:04:14,CLOSED,4482.59,2025-12-23 13:04:14,-2.18,0.0,0.0,
121265736,GOLD,SELL,0.01,0.0,2025-12-23 13:04:07,CLOSED,4482.35,2025-12-23 13:04:07,-1.46,0.0,0.0,
121265792,GOLD,SELL,0.01,0.0,2025-12-23 13:04:03,CLOSED,4482.28,2025-12-23 13:04:03,-0.41,0.0,0.0,
121265852,GOLD,SELL,0.01,0.0,2025-12-23 13:03:21,CLOSED,4482.85,2025-12-23 13:03:21,-1.32,0.0,0.0,
121266920,GOLD,SELL,0.01,0.0,2025-12-23 13:03:59,CLOSED,4482.36,2025-12-23 13:03:59,0.34,0.0,0.0,
121267086,GOLD,SELL,0.01,0.0,2025-12-23 13:04:10,CLOSED,4482.37,2025-12-23 13:04:10,-0.3,0.0,0.0,
121267108,GOLD,SELL,0.01,0.0,2025-12-23 13:09:49,CLOSED,4483.54,2025-12-23 13:09:49,-1.24,0.0,0.0,
121267138,GOLD,SELL,0.01,0.0,2025-12-23 13:09:52,CLOSED,4483.61,2025-12-23 13:09:52,-0.95,0.0,0.0,
121267196,GOLD,SELL,0.01,0.0,2025-12-23 13:09:45,CLOSED,4483.72,2025-12-23 13:09:45,-0.7,0.0,0.0,
121290421,GOLD,SELL,0.01,0.0,2025-12-23 15:50:49,CLOSED,4489.36,2025-12-23 15:50:49,-1.55,0.0,0.0,
121293664,GOLD,BUY,0.01,0.0,2025-12-23 16:16:48,CLOSED,4487.42,2025-12-23 16:16:48,-1.35,0.0,0.0,
121294960,GOLD,BUY,0.01,0.0,2025-12-23 16:28:17,CLOSED,4487.98,2025-12-23 16:28:17,0.0,0.0,0.0,
121300351,GOLD,BUY,0.01,0.0,2025-12-23 17:07:11,CLOSED,4484.55,2025-12-23 17:07:11,-5.0,0.0,0.0,
121311802,GOLD,BUY,0.01,0.0,2025-12-23 17:44:33,CLOSED,4481.99,2025-12-23 17:44:33,-1.41,0.0,0.0,
121319396,GOLD,SELL,0.01,0.0,2025-12-23 19:40:25,CLOSED,4487.27,2025-12-23 19:40:25,-3.42,0.0,0.0,
121320786,GOLD,BUY,0.01,0.0,2025-12-23 19:49:17,CLOSED,4487.59,2025-12-23 19:49:17,2.85,0.0,0.0,
121323998,GOLD,BUY,0.01,0.0,2025-12-23 20:20:46,CLOSED,4484.2,2025-12-23 20:20:46,-4.5600000000000005,0.0,0.0,
121324368,EURUSD,SELL,0.01,0.0,2025-12-29 15:01:04,CLOSED,1.17713,2025-12-29 15:01:04,2.83,0.0,0.0,
121324372,EURUSD,SELL,0.01,0.0,2025-12-29 15:01:04,CLOSED,1.17713,2025-12-29 15:01:04,2.83,0.0,0.0,
121324381,EURUSD,SELL,0.01,0.0,2025-12-24 22:55:25,CLOSED,1.1779600000000001,2025-12-24 22:55:25,1.81,0.0,0.0,
121324390,EURUSD,SELL,0.01,0.0,2025-12-23 22:01:55,CLOSED,1.1775,2025-12-23 22:01:55,2.23,0.0,0.0,
121345166,GOLD,SELL,0.01,0.0,2025-12-23 21:51:30,CLOSED,4483.89,2025-12-23 21:51:30,6.05,0.0,0.0,
121360001,GOLD,SELL,0.01,0.0,2025-12-23 22:16:25,CLOSED,4465.69,2025-12-23 22:16:25,3.69,0.0,0.0,
121360303,GOLD,SELL,0.01,0.0,2025-12-23 22:16:25,CLOSED,4465.7,2025-12-23 22:16:25,4.18,0.0,0.0,
121361672,GOLD,SELL,0.02,0.0,2025-12-23 22:21:35,CLOSED,4471.92,2025-12-23 22:21:35,-10.1,0.0,0.0,
121369275,GOLD,SELL,0.01,0.0,2025-12-23 22:41:16,CLOSED,4453.59,2025-12-23 22:41:16,5.92,0.0,0.0,
121377711,GOLD,SELL,0.01,0.0,2025-12-23 23:00:52,CLOSED,4449.76,2025-12-23 23:00:52,-4.99,0.0,0.0,
121386404,GOLD,SELL,0.01,0.0,2025-12-23 23:31:27,CLOSED,4446.24,2025-12-23 23:31:27,1.94,0.0,0.0,
121389416,GOLD,BUY,0.01,0.0,2025-12-23 23:38:48,CLOSED,4451.59,2025-12-23 23:38:48,7.13,0.0,0.0,
121391564,GOLD,SELL,0.02,0.0,2025-12-23 23:47:34,CLOSED,4453.75,2025-12-23 23:47:34,4.22,0.0,0.0,
121393898,GOLD,SELL,0.01,0.0,2025-12-24 00:03:24,CLOSED,4460.17,2025-12-24 00:03:24,-4.54,0.0,0.0,
121404025,GOLD,BUY,0.02,0.0,2025-12-24 00:46:11,CLOSED,4467.73,2025-12-24 00:46:11,2.2800000000000002,0.0,0.0,
121404895,GOLD,BUY,0.03,0.0,2025-12-24 00:54:45,CLOSED,4475.84,2025-12-24 00:54:45,17.88,0.0,0.0,
121407551,GOLD,SELL,0.01,0.0,2025-12-24 02:12:46,CLOSED,4480.86,2025-12-24 02:12:46,-6.62,0.0,0.0,
121428040,GOLD,BUY,0.01,0.0,2025-12-24 04:22:22,CLOSED,4493.34,2025-12-24 04:22:22,1.8199999999999998,0.0,0.0,
121430708,GOLD,BUY,0.01,0.0,2025-12-24 04:00:32,CLOSED,4489.73,2025-12-24 04:00:32,-3.1,0.0,0.0,
121434141,GOLD,BUY,0.01,0.0,2025-12-24 05:26:47,CLOSED,4490.41,2025-12-24 05:26:47,-4.1,0.0,0.0,
121439075,GOLD,BUY,0.01,0.0,2025-12-24 05:26:47,CLOSED,4490.41,2025-12-24 05:26:47,-3.45,0.0,0.0,
121445564,GOLD,SELL,0.01,0.0,2025-12-24 07:11:24,CLOSED,4494.66,2025-12-24 07:11:24,-5.05,0.0,0.0,
121458325,GOLD,BUY,0.01,0.0,2025-12-24 08:32:49,CLOSED,4514.5,2025-12-24 08:32:49,-0.3,0.0,0.0,
121459952,GOLD,BUY,0.01,0.0,2025-12-24 09:47:54,CLOSED,4521.04,2025-12-24 09:47:54,3.79,0.0,0.0,
121461632,GOLD,BUY,0.01,0.0,2025-12-24 08:59:12,CLOSED,4510.68,2025-12-24 08:59:12,-5.34,0.0,0.0,
121472234,GOLD,BUY,0.01,0.0,2025-12-24 10:58:39,CLOSED,4491.96,2025-12-24 10:58:39,-25.96,0.0,0.0,
121482487,GOLD,SELL,0.01,0.0,2025-12-24 14:32:28,CLOSED,4494.09,2025-12-24 14:32:28,-10.62,0.0,0.0,
121505844,GOLD,SELL,0.01,0.0,2025-12-24 14:54:49,CLOSED,4495.03,2025-12-24 14:54:49,0.42,0.0,0.0,
121506086,GOLD,SELL,0.01,0.0,2025-12-24 15:04:01,CLOSED,4493.3,2025-12-24 15:04:01,1.5899999999999999,0.0,0.0,
121507922,GOLD,SELL,0.01,0.0,2025-12-24 15:48:32,CLOSED,4486.99,2025-12-24 15:48:32,4.99,0.0,0.0,
121511528,GOLD,SELL,0.01,0.0,2025-12-24 16:01:08,CLOSED,4478.74,2025-12-24 16:01:08,7.87,0.0,0.0,
121513054,GOLD,SELL,0.02,0.0,2025-12-24 16:00:06,CLOSED,4482.32,2025-12-24 16:00:06,3.12,0.0,0.0,
121514305,GOLD,SELL,0.01,0.0,2025-12-24 16:39:55,CLOSED,4490.3,2025-12-24 16:39:55,-7.53,0.0,0.0,
121521825,GOLD,SELL,0.02,0.0,2025-12-24 17:17:15,CLOSED,4493.44,2025-12-24 17:17:15,-20.88,0.0,0.0,
121524651,GOLD,BUY,0.01,0.0,2025-12-24 17:22:38,CLOSED,4489.95,2025-12-24 17:22:38,-0.58,0.0,0.0,
121525522,GOLD,BUY,0.01,0.0,2025-12-24 17:41:54,CLOSED,4491.71,2025-12-24 17:41:54,2.25,0.0,0.0,
121526162,GOLD,BUY,0.01,0.0,2025-12-24 17:41:54,CLOSED,4491.77,2025-12-24 17:41:54,2.95,0.0,0.0,
121526711,GOLD,BUY,0.01,0.0,2025-12-24 18:00:55,CLOSED,4494.07,2025-12-24 18:00:55,2.57,0.0,0.0,
121530665,GOLD,BUY,0.01,0.0,2025-12-24 18:34:08,CLOSED,4484.98,2025-12-24 18:34:08,-6.04,0.0,0.0,
121531955,GOLD,BUY,0.01,0.0,2025-12-24 18:34:08,CLOSED,4485.06,2025-12-24 18:34:08,-7.65,0.0,0.0,
121534432,GOLD,BUY,0.01,0.0,2025-12-24 19:01:53,CLOSED,4487.67,2025-12-24 19:01:53,1.8199999999999998,0.0,0.0,
121535844,GOLD,SELL,0.01,0.0,2025-12-24 19:01:58,CLOSED,4488.13,2025-12-24 19:01:58,1.16,0.0,0.0,
121537026,GOLD,SELL,0.01,0.0,2025-12-24 20:05:49,CLOSED,4493.85,2025-12-24 20:05:49,-5.85,0.0,0.0,
